,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
4089,Taaj Kerala Radiant Day Cream SPF15 50ml,3401340798379,Taaj,19.60,0.0,0,Cream,50ml,In stock,"Taaj Kerala Radiant Day Cream SPF15 50ml is a perfecting care with water source of Himalaya, which allows to unify and smooth the skin of the face.This cream contains several actives that act in synergistic way as Hyaluronic Acid, Aloe Vera, Amla, Manjishta, Punarnva, White Lily, Buriti Oil.It allows thanks to its active, to improve visibly the quality and the aspect of the skin for a complexion with zero fault.This care attenuates the imperfections : dark spots, redness, spots, pores. It unifies and perfect the skin texture and so awakens the complexion and provides protection against free radicals.Day after day, your skin is revitalized and moisturised, and rediscover its natural radiance. It is sharper and smoother and your complexion is brighter.Paraben free, phenoxyethanol free, mineral oil free. "
4090,Clinique Smart SPF 15 Custom-Repair Moisturizer Dry to Combination Skin 50ml,20714678227,Clinique,65.50,0.0,0,Cream,50ml,In stock,"Clinique Smart SPF 15 Custom-Repair Moisturizer Dry to Combination Skin 50ml is a moisturizing cream which acts throughout the day to visibly repair wrinkles and fine lines while favoring a targeted regeneration during the night.This cream firms and provides radiance where and when the skin needs it. Its clever moisturizing technology helps to re-establish and to maintain the moisturizing level of the skin. It protects your skin from the damages due to the UVA/UVB.Applied daily, at wake-up, it reveals a fresh skin, firm and radiant of youth.Allergy-tested.Fragrance-free. "
4091,Docteur Valnet Organic Massage Oil Face & Body 50ml,3584410020034,Docteur,5.20,0.0,0,Oil,50ml,In stock,"Docteur Valnet Organic Massage Oil Face & Body 50ml is composed of 3 organic vegetable oils, to allow you to create your own massage oil with one or several essential oils. It is to use as a massage oil on face or body.Very rich in vitamin A, E, F, this massage oils contains:- jojoba oil that is similar to the skin collagen and is very rich in vitamin E. It is particularly advised for sensitive skins.- apricot kernel oil, rich in mineral salts and vitamin A. It helps to keep a supple skin and is ideal for sensitive skins too.- sunflower oil rich in essential fatty acids and vitamin E has a light smell of hazelnut.This massage oil allows an optimal penetration of essential oils through the cutaneous barrier and to nourish the epidermis while softening it and protecting it from external aggression.100% of the ingredients are from natural origin.Controlled proccess of fabrication and certified characteristics according to the I-305 reference ""produits cosmétiques biologiques et produits cosmétiques écologiques""."
4092,Taaj Kerala Radiant Night Cream 50ml,3401340798140,Taaj,19.60,5.0, 1 ,Cream,50ml,In stock,"Taaj Kerala Radiant Night Cream 50ml is a perfecting care with water source of Himalaya, which allows to unify and smooth the skin of the face.This cream contains several actives that act in synergistic way as Hyaluronic Acid, Aloe Vera, Amla, Manjishta, Indian Lotus, Rice Bran Oil, Orange Blossom, Natural AHAs of Papaya.It allows thanks to its active, to improve visibly the quality and the aspect of the skin for a complexion with zero fault.This care is rich in draining and regenerating actives, it favours the micro-circulation thus the cells renewal during the night. You will find a fresh and rested complexion at the waking.Day after day, your skin is regenerated, and it rediscover its natural radiant. It is more clear and smooth, your complexion is luminous.Paraben free, phenoxyethanol free, mineral oil free. "
4093,Tadé Laurel Blossom Body Lotion 200ml,3593290027187,Tadé,8.40,0.0,0,Milk,200ml,In stock,"Tadé Laurel Blossom Body Lotion 200ml is a lotion with shea butter and organic olive oil, which is particularly generous in active cosmetic principles (vitamins, essential fatty acids, antioxidants).Ideal for the daily care, this perfumed milk promotes good hydration of the body, for a soft and fresh skin, delicately scented (laurel blossom).The reasoned formula of the body lotion contains 98% of ingredients of natural origin, is without paraben, without dye. Made in France. "
4094,Tadé Olive Blossom Body Lotion 200ml,3593290027330,Tadé,8.40,0.0,0,Milk,200ml,In stock,"Tadé Olive Blossom Body Lotion 200ml is a lotion with shea butter and organic olive oil, which is particularly generous in active cosmetic principles (vitamins, essential fatty acids, antioxidants).Ideal for the daily care, this perfumed milk promotes good hydration of the body, for a soft and fresh skin, delicately scented (olive blossom).The reasoned formula of the body lotion contains 98% of ingredients of natural origin, is without paraben, without dye. Made in France. "
4095,Juvaflorine Radiance Mask Detox Clay + Charcoal 300g,3160920401527,Juvaflorine,12.30,0.0,0,Paste,300g,In stock,"Juvaflorine Radiance Mask Detox Clay + Charcoal 300g of natural origin is ideal to purify and brighten the face and hair and bring to the skin all the benefits of white clay and charcoal.White clay, known for its absorbency, eliminates impurities, excess sebum and make-up residues.The charcoal detoxifies the skin without drying, softens, and brightens the complexion.With regular application, the skin is healthy and balanced.Made in France."
4096,Incarose Extra Pure Hyaluronic Defense Protective Face Cream 50ml,8002712020750,Incarose,26.30,0.0,0,Cream,50ml,In stock,"Incarose Extra Pure Hyaluronic Defense Protective Face Cream 50ml is a dermo-soothing protective cream specially formulated for the delicate and sensitive skins. This moisturizing cream contains Hyaluronic Acid with intense moisturizing and soothing action, thus Olive oil, Almond oil and Cotton that soothe and nourish the skin.This innovative and balanced mix of active ingredients that prevent the appearance of skin sensitization. It offers a strong feeling of well-being."
4097,Incarose Extra Pure Hyaluronic Purity Purifying Face Cream 50ml,8002712020743,Incarose,25.40,0.0,0,Cream,50ml,In stock,"Incarose Extra Pure Hyaluronic Purity Purifying Face Cream 50ml is a purifying cream specially formulated for the oily and blemished skins, it allows to regulate the excess of sebum and to matify the complexion. This light cream is indicated for the daily moisturizing of the oily and blemished skins. It contains Hyaluronic Acid which maintains the hydric balance of the skin, whereas Lactic Acid and fruit contribute to smooth the skin while uniforming its appearance. The dermo-purifying and sebum-balancing action is exerted by the Tea Tree oil and the extract of Alga Laminaria Saccharine.It offers a smooth and even skin while eliminating the shiny and greasy effect typical of oily skin."
4098,Noreva Sensidiane Palpebral Anti-Itching Cream 20ml + Soothing Micellar Water 100ml Offered,3571940000889,Noreva,15.20,0.0,0,Cream,20ml + 100ml,In stock,"Noreva Sensidiane Palpebral Anti-Itching Cream 20ml provides a soothing and freshness beneficial from the first application while ensuring efficiency, safety and security.Formulated with preservative free.Ophthalmologically tested.Noreva Sensidiane Soothing Micellar Water 100ml Offered cleanses, removes make-up of the face, eyes, lips of sensitive skin.Its formula contains the Neutrazen Pro that efficiently protects against external aggression, regulates the system of natural defences of the skin and soothes. It also contains biomimetic fatty acids to gently cleanse.After application, it leaves a pleasant sensation of freshness and soothes.Paraben-free, fragrance-free, without allergen. High tolerance. "
4099,Eye Care Eye Make-up Remover Emulsion 60ml,3532661004600,Eye,5.40,0.0,0,Emulsion,60ml,In stock,"Eye Care Eye Make-up Remover Emulsion 60ml formulated with non-ionic tensio-acive, with isotonic lacrymal pH. It gently cleanses and daily soothes the eyes, eve the most sensitive, and it is particularly recommended to contact lenses wearers."
4100,Placentor Végétal Soothing Micellar Water for Sensitive Skins 400ml,3760099700621,Placentor,10.90,0.0,0,Solution,400ml,In stock,"Placentor Végétal Soothing Micellar Water for Sensitive Skins 400ml is a solution which gently eliminates the impurities and make-up, even waterproof. Its formula adapted to sensitive skins immediately soothes the sensations of discomforts: irritations, twinge, redness. Cornflower water associated to Cucumber extract refreshes and relaxes the eyes contour. Actives of refence in dermatology, Panthenol and Allantoin moisturize the fragile skins. As use goes by, the sensitivity of the skin decreases.Its efficacy has been prooven*:- excellend make-up removing power: 95%- comfortable skin during the day: 100% - decongesting effect on the eyes: 95%.* Satisfaction test on 20 voluntaries with sensitive skins after 21 days of bidaily use.Tolerance tested under dermatological and ophtalmological control.0% Paraben.Made in France."
4101,Placentor Végétal Ultra-Exfoliant Cream 75g,3760099700607,Placentor,20.90,0.0,0,Cream,75g,In stock,"Placentor Végétal Ultra-Exfoliant Cream 75g is a smoothing cream directly inspired by microdermabraison (aesthetic medicine technique) that ensures intense exfoliation of the epidermis of the face and neckline.In 2 minutes, it ""re-smoothes"" the epidermis, improves radiance and refines the skin texture. Corundum microcrystals and lactic acid activate the cell renewal. Allantoin associated with Vegetable Placenta promotes the regeneration of the skin. Oat milk softens and soothes the skin.Its formula is enriched with urea and panthenol, dermatological reference ingredients known for their moisturizing and restorative properties.It does not dry the skin. Excellent cutaneous tolerance. Hypoallergenic.Its effectiveness is clinically proven (satisfaction test on 21 volunteers after the first application):- the pores are less visible: 100%- imperfections of the skin are erased: 95%- the skin looks smoother and firmer: 95%- the complexion is more radiant: 90%.0% Paraben.Made in France."
4102,Payot Les Démaquillantes Cleansing Micellar Milk 75ml,3390150571329,Payot,8.10,0.0,0,Milk,75ml,In stock,"Payot Les Démaquillantes Cleansing Micellar Milk 75ml is a comforting moisturizing cleansing micellar milk with Raspberry extracts. This micellar milk is formulated based of Raspberry extracts, Micelles and Hyaluronic Acid. It cleans and removes all the impurities and make-up from the skin. It cleans the skin gently in order to preserve it from the cutaneous dehydration. It is specially formulated to be suitable for all skin types. Its unctuous and fluid texture is easy to apply for clear, soft and comfortable skin. Tested under dermatologic control."
4103,Galénic Masques de Beauté Cold Purifying Mask 50ml,3282770209259,Galénic,31.80,0.0,0,Mask,50ml,In stock,"Galénic Masques de Beauté Cold Purifying Mask 50ml with uncutous, creamy and comfortable texture with a cold effect is an express purifying cold mask for a matte skin, a regular skin texture and tighten pores, in just 3 minutes.This mask associates:- a kaolin formula, a soft natural white clay known for its absorbing and purifying properties,- a creamy texture with a cold effect: effective to tighten the pores and comfortable on the skin,- a fragrance with notes of fresh white flowers.To purify, tighten the pores and refine the skin texture, the Master Formulator Galenic has developed a custom-made structure, called FrozenPure: an exceptional galenic creating a cold effect: in contact with the skin, a heat exchange is creates conveying the heat of the skin to the outside. The pores are tightened immediately and the skin texture smoothed."
4104,Garancia Fée-Moi Fondre La Nuit Anti-Cellulite Crackling Body Foam Active At Night 400ml,3700928801259,Garancia,36.40,0.0,0,Foam,400ml,In stock,"Garancia Fée-Moi Fondre La Nuit Anti-Cellulite Crackling Body Foam Active At Night 400ml is a care for the body with slimming, anti-cellulite, firming and draining actives. This foam is formulated based on: - red algae; specific extract of Janis Rubens which detoxifies and removes all the undesirable toxins in order to finds necessary energy to activate the lipolysis and synthesize collagen.- Mate an Stevia leaves, titrated to glycosylated terpenes, stimulate the lipolysis and limit the lipogenesis for an anti-cellulite preventive and corrective action.- Beetroot, which draines the liquids in excess. It also contains an exclusive complex, insomnight which associates firming grafted Silicium, derived from draining Esculine with botanical extracts. Its sublimating powdered texture crackles and penetrates instantaneously in the heart of the skin. Formulated with silicons-free, parabens-free, phenoxyethanol-free."
4105,Aderma Dermalibour+ Purifying Foaming Gel 125ml,3282770030112,Aderma,7.80,0.0,0,Gel,125ml,In stock,"Aderma Dermalibour+ Purifying Foaming Gel 125ml is a foaming gel with copper and zinc. It cleans, soothes and purifies the irritated skin of infants, children and adults.Made in France. "
4106,Excilor Anti-Blister Gel 15ml,3614819997535,Excilor,5.40,0.0,0,Gel,15ml,In stock,"Excilor Anti-Blister Gel 15ml is a dimethicone gel that protects against excessive friction by forming an invisible protective film on the skin.The soothing properties of the chamomile flower help soothe and alleviate the sensitized area.Its long lasting action, resistant to sweat, limits friction. Does not stain, does not stick, does not make your feet slippery.The applicator tip allows a precise and hygienic application of the product."
4107,Eau de Jonzac Sublimactive Cellular Anti-Aging Micro-Peeling 30ml,3517360017816,Eau,26.90,0.0,0,Cream,30ml,In stock,"Over time, the skin loses density and radiance.Eau de Jonzac Sublimactive Cellular Anti-Aging Micro-Peeling 30ml thanks to its complex 'soft peeling', is a micro-peeling new skin effect anti-aging cellular which combines the effectiveness of a soft peeling surface to a restorative and regenerating action in depth for a redensified skin, more smooth and luminous.This micro-peeling is formulated with: Jonzac thermal water: 25%, complex 'soft peeling', Poly-ox.Tested under dermatological control. Formulated and tested to minimize the risks of allergic reactions.Hypoallergenic. Non-comedogenic. Without perfume.99% of the total ingredients are of natural origin.42% of the total ingredients are from organic origin."
4108,Saltrates Tonifying Bath Salts 10 Sachets of 20g,7640116030190,Saltrates,6.30,0.0,0,Salt,10 sachets,In stock,Saltrates Tonifying Bath Salts 10 Sachets of 20g are based on marine salts and algae.They are especially designed to tone up and revitalize the tired and painful feet.
4109,Delarom Eye And Lip Contour Care 15ml,3401342192670,Delarom,26.30,3.0, 3 ,Gel,15ml,In stock,"Delarom Eye And Lip Contour Care 15ml with gel and cream texture, mild fresh and fragrance-free helps smoothe the eye contour and lips and reduce puffiness.- aloe vera oil nourishes and moisturizes,- the ivy extract decongests and acts against puffiness,- olive squalane and shea butter repair,- soybean tocopherols bring their antioxidant properties,- vitamin A and C derivatives are helps fight free radicals.Puffiness and dark circles are reduced, the eye is illuminated and the lip contour is smoothed."
4110,Delarom Eye Make-Up Remover Gel 75ml,3401353703971,Delarom,8.10,5.0, 1 ,Gel,75ml,In stock,"Delarom Eye Make-Up Remover Gel 75ml enriched in Peony recognised for its soothing virtues, simply and gently removes all traces of make-up. Its light and unctuous texture protects your lashes and leaves your eyes contour clear and gently refreshed.Tested under ophthalmological control, this gel is perfectly adapted to the sensitive eyes and lenses wearers.Made in France. "
4111,Delarom Anti-Ageing Restructuring Cream 50ml,3401342480623,Delarom,59.10,0.0,0,Cream,50ml,In stock,"Delarom Anti-Ageing Restructuring Cream 50ml with rich and comfortable texture, with lifting complex, brings an immediate comfort and a sensation of firmness to mature skins. Rich in organic Argan oil, muscat rose oil and olive extract, this protecting and restructuring cream acts against signs of ageing.Organic tenuiflora mimosa and vitamin E help fight against aging and cells of the epidermis. The skin appears rested, younger. "
4112,Delarom Oxygenating Balancing Aroma 15ml,3401342350889,Delarom,36.40,0.0,0,Oil,15ml,In stock,"Delarom Oxygenating Balancing Aroma 15ml with fine and delicate texture is a face oil, real concentrate of nature, composed of a revitalizing complex of 100% pure and natural essential oils that helps to rebalance and oxygenate the skin.- the essential oil of immortelle offers anti-radical properties,- the essential oil of petitgrain bigarade has relaxant properties,- the essential oil of lemon is toning,- the essential oil of patchouli is decongestant,- the essential oil of neroli is repairing,- the essential oil of incense is energizing.This care enhances the toxin elimination, rebalances, tones and oxygenates the epidermis. It also helps to fight against stress and dull complexion for a full of radiance and vitality face."
4113,Cattier Rebalancing Micellar Lotion 200ml,3283950916622,Cattier,9.10,0.0,0,Lotion,200ml,In stock,"Cattier Rebalancing Micellar Lotion 200ml gently cleanses and removes make-up of face, eyes and lips of combination to oily skins.Thanks to its micellar technology, this lotion efficiently removes make-up and impurities. Its complex of rebalancing and purifying actives combining Phycossacharids (extract of zinc and brown algae) and Epidermist (active from a marine micro-organism) absorbs the sebum excess, tightens pores and avoids their obstruction.The moisturising and softening properties of hazelnut extract allow to bring softeness and comfort to the skin. The skin is healthy, balanced and matified. The skin is clean and the skin texture is refined.Organic certified. 0% alcohol.99% of the total ingredients is from natural origin.12 % of the total ingredients is from biological origin."
4114,Taaj Himalaya Micellar Water Sensitive Skin 100ml,3760251410009,Taaj,4.30,0.0,0,Water,100ml,In stock,"Taaj Himalaya Micellar Water Sensitive Skin 100ml is a micellar water with Himalaya natural water cleanses, gently removes make-up and impurities.Rich in Chamomile, Rosemary, and Green Tea with soothing and anti-irritant properties, its formula is adapted to the eye contour.The skin is clean, fresh, ready for the following care. It is supple and soft, and the complexion is radiant.Free from paraben, mineral oils, alcohol, phenoxyethanol.Fragrance-free, suitable for contact lenses wearers."
4115,Taaj Rasayana Anti-Ageing Cream-Mask 75ml,3760251410115,Taaj,29.10,0.0,0,Cream,75ml,In stock,"Taaj Rasayana Anti-Ageing Cream-Mask 75ml is a 2-in-1 care that can be used as a night cream and a face mask. This anti-ageing care contains a synergy of potent active ingredients:- Prickly pear oil,- Hibiscus oil,- Cranberry oil,- Rosehip oil,- Tomato seed oil.Its formula is completed by Hyaluronic Acid, to increase its age-control action.From its application, your skin is revitalized and replumped, it is smooth, firm and toned up. The wrinkles and tiredness maks are faded, your complexion is fresh and unified! Suitable for all skin types."
4116,Mercurochrome 3 in 1 Corns Treatment,3160920509537,Mercurochrome,19.30,5.0, 1 ,Solution,1 pen of 3ml + 7 hydrocolloid plasters,In stock,"Mercurochrome 3 in 1 Corns Treatment is indicated for the treatment of the corns of feet in local application.Corns are small areas of thicker skin. They result from pressure exerted on a bone prominence. The skin then thickens naturally to protect itself.This treatment allows a triple action on the corn: it allows to relieve the pain, to treat the corn in depth and to stop its propagation by the double action of the hydrocolloid dressing and the solution.Practical and effective, it allows a precise application of the solution. There is no need to grate the skin before use since the solution softens and treats the corn deeply."
4117,Epitact Durillons Protections 3 Units,3660396002216,Epitact,7.80,0.0,0,Sticking plasters,3 units,In stock,"Epitact Durillons Protections 3 Units are auto-adhesive protections allowing to protect and alleviate pains due to calluses, callosities under the forefoot thanks to the Epithelium Activ gel.The Epithelium Activ gel spreads pressures and allows a comfortable walk.Really fine, these protections are to use during the day whatever the shoes. They are also suitable for the diabetic's feet.Size: 4,5 x 3,8cm."
4118,Cattier Éclat de Rose Eye Contour Treatment 15ml,3283950911955,Cattier,12.70,4.0, 1 ,Concentrate,15ml,In stock,"Cattier Éclat de Rose Eye Contour Treatment 15ml proposes an anti-ageing, anti-dark circles and anti-puffiness action, offering a real cure of beauty to your eyes.The organic argan oil enhances the cell dynamism, moisturize and strengthens the epidermis. The synergy of active ingredients composed of wheat wax and black algae allows to decongest and reduce puffiness and the colors of dark circles. The lavender extract helps fight expressions and smoothes. The organic rose extract immediately refreshes and soothes the skin.The eye contour is toned, puffiness and fine lines are less visible and look is illuminated.Organic certified by Ecocert.98,5% of total ingredients are of natural origin.22,7% of total ingredients are from organic farming. "
4121,Eau de Jonzac Thermal Spring Water 50ml,3517360001761,Eau,2.70,5.0, 1 ,Water,50ml,In stock,"Eau de Jonzac Thermal Spring Water 50ml comes from its original environment (1850m in depth) to offer its soothing, anti-irritant and regenerating properties for the whole family.Pure and rich in minerals, it allows to regenerate the skin while activating the cell renewal metabolism.Hypoallergenic, fragrance and preservative-free.Suitable for all skin types, even the most sensitive."
4122,Garancia Immortal Express Shot N°1 Energising Serum Anti-Ageing Booster 15ml,3401166852170,Garancia,45.50,0.0,0,Serum,15ml,Limited quantity: 1,"Garancia Immortal Express Shot N°1 Energising Serum Anti-Ageing Booster 15ml brings a cosmetic solution efficient only in 15 days to tired skins lacking of energy.- Patented innovation: MG6P molecule booster of youthful proteins (collagen +179% and elastin +190%)*.- Extract of Dragon Blood: resin collected in the amazonian forest, used for its beneficial powers on the skin and simulator of collagen.Results: 86% of volunteers shown a significant reduction of the wrinkles depth of less than 15 days**.1 botte = 15 days.* Test ex viso.** 20 subjects of 54 to 68 years old, 2 applications per day. "
4123,Natessance Lift'Argan Divinissime Immortelle The Light Cream 50ml,3517360005219,Natessance,27.30,0.0,0,Cream,50ml,In stock,"Natessance Lift'Argan Divinissime Immortelle The Light Cream 50ml is a cream that offers a complete action on the signs of cutaneous aging: wrinkles, firmness, dehydration, loss of radiance and slackening. It is enriched in a duo if actives: - Organic Argan oil, moisturizing, softening, regenerative, antioxidant, perfect ally to help to fight against cutaneous aging while providing hydration and comfort to the skin,- Organic Everlasting flower, antioxidant extract, recognized to never wilt and help to preserve the youth capital of the skin.Its fluid texture with powdered finish is perfectly adapted to the needs of the normal to combination skins. The skin is perfectly moisturized, smoother, firmer and more radiant.Organic and Ecologic Cosmetic certified by Ecocert Greenlife according to the Ecocert referential :99% of the total ingredients are from natural origin.39% of the total ingredients are from organic farming.Tested under dermatological control. Paraben free. Silicon free. Synthesis fragrance free.Made in France."
4124,Natessance Refreshing Micellar Water 250ml,3517360018073,Natessance,6.60,0.0,0,Water,250ml,In stock,"Natessance Refreshing Micellar Water 250ml is a water that removes make-up, lifts impurities and refreshes the skin.This micellar water is formulated based of: - Organic Aloe Vera Sap, a beauty ally, with benefits known moisturizing and protective.- Organic Coconut water, known for its mineral richness and its incredible refreshing power.Your skin is clear, fresh and comfortable.Tested under dermatological control.Formula certified organic. 99% of total are from natural origin.Formulated with alcohol free, paraben free."
4125,Natessance Anti-Wrinkle Intense Moisturizing Cream Night 50ml,3517360018004,Natessance,16.60,0.0,0,Cream,50ml,In stock,"Natessance Anti-Wrinkle Intense Moisturizing Cream Night 50ml is a care enriched with a duo of specific active ingredients, developed to moisturize and take care of mature skins during the night:- Organic Birch sap, with recognized moisturizing and toning virtues to improve the elasticity of the skin,- Organic Jojoba wax, regenerating anti-aging active that smoothes the skin and brings a new firmness.The anti-wrinkle night moisturizing care combats the signs of aging, reduces the appearance of wrinkles and prevents their appearance. Its creamy nourishing texture provides lasting hydration leaving a pleasant feeling of smoothed skin upon awakening. The skin is firmer, radiant with youth.Tested under dermatological control. Paraben-free, silicone-free, synthetic fragrance-free.99% of the total ingredients are of natural origin.25% of the total ingredients are from organic origin."
4126,Laboratoires de Biarritz Organic Meteo Logic Moisturizing Face Cream 30ml,3760211480264,Laboratoires,21.30,0.0,0,Cream,30ml,In stock,"Laboratoires de Biarritz Organic Meteo Logic Moisturizing Face Cream 30ml is a cream that provides a long-lasting hydration for 8 hours.The Alga-Gorria, patented extract of red alga with antioxidant properties, promotes the adaptability of the skin to external stress factors.In addition to that, it contains a marine active ingredient that prepares the skin for thermal shocks. Its texture is creamy and mild.99,6% of the total ingredients are of natural origin.40% of the total ingredients are from organic origin.Cosmetics certified by ECOCERT Greenlife according to the Ecocert standard."
4127,Laboratoires de Biarritz Organic Meteo Logic Moisturizing Night Cream 50ml,3760211480295,Laboratoires,27.30,0.0,0,Cream,50ml,In stock,"Laboratoires de Biarritz Organic Meteo Logic Moisturizing Night Cream 50ml is a cream that provides intense hydration for 24 hours. The Alga-Gorria, patented extract of red alga with antioxidant properties, promotes the adaptability of the skin to external stress factors.In addition to that, it contains a marine active ingredient concentrate that rehydrates the skin and resets the epidermis functions for a regenerated and less reactive skin.Its silky texture brings comfort, suppleness and protection.99,7% of the total ingredients are of natural origin.34,5% of the total ingredients are from organic origin.Cosmetics certified by ECOCERT Greenlife according to the Ecocert standard."
4128,Laboratoires de Biarritz Organic Meteo Logic Eye Contour 15ml,3760211480288,Laboratoires,17.20,0.0,0,Cream,15ml,In stock,"Laboratoires de Biarritz Organic Meteo Logic Eye Contour 15ml is a care with hydrating and soothing ingredients specific for the contour of the eye which revitalize the look and attenuate the dark circles.The skin is plumped and the wrinkles are blurred. It is based on Alga Gorria, patented extract of red alga with antioxidant properties, promotes the adaptability of the skin to external stress factors.Its texture is light and soft and perfectly adapted to the fragile skin of the eye contour. It is suitable for all the eyes, even the most sensitive and those who wear contact lenses.Without perfume.Dermatologically and ophthalmically tested.99,8% of the total ingredients are of natural origin.30% of the total ingredients are of organic origin.Cosmetics certified by ECOCERT Greenlife according to the Ecocert standard."
4129,Garancia Source Micellaire Enchantée Micellar Cleansing Water Sweet Almond Eco-Refill 400ml +...,3700928801303,Garancia,11.80,0.0,0,Water,400ml + 1 flask of 100ml,In stock,"Garancia Source Micellaire Enchantée Micellar Cleansing Water Sweet Almond Eco-Refill 400ml + Flask To Refill Offered is a refill for an almond-scented micellar cleansing water bottle.This micellar water is formulated with extract of organic young green barley shoots rich in antioxidant polyphenols, combined with a patented active soothing and moisturizing. It removes make-up from the face, eyes and lips, and cleans your skin perfectly, without rinsing, in a single gesture.Its almond fragrance will leave a floral and fresh fragrance on your skin.Economical and ecological, 1 refill can fill your 100 ml bottle 4 times, with 91% less plastic for this packaging.97% of the ingredients are of natural origin.Tested under dermatological and ophthalmic control.Made in France.A beautiful collector pump bottle to recharge is offered! "
4130,Elixirs & Co Rose Care Water Revitalizing Organic 100ml,3584850003710,Elixirs,16.30,0.0,0,Solution,100ml,In stock,"Elixirs & Co Rose Care Water Revitalizing Organic 100ml is a regenerating water thanks to the active cells of Morello Cherry which, 100% natural and 100% actives, concentrate the energy of the plant. They stimulate the cell regeneration mechanism. The skin is durably moisturized and protected. Ecologic and organic certified by Ecocert Greenlife according to the Ecocert standard. 100% of total ingredients are from natural origin.95,95% of total ingredients are from organic farming."
4131,Eyes Soothing and Decongestant Care 15ml,3401344302756,Eyes,9.99,0.0,0,Gel,15ml,In stock,"Eyes Soothing and Decongestant Care 15ml contains: - Liquorice root extract associated to Candeia extract (rich in alpha-bisabolol) that soothes and relieves the eyes contour caused by light traumatisms of cutaneous tissues,- MDI Complex which, by its decongestant action, helps to attenuate sweeling,- Dextran Sulfate and Ruscogenine that reinforce this decongestant effect.This non oily gel rapidly penetrates.Dye free, fragrance free, paraben free, physiological pH.Suitable for the sensitive eyes, lens wearers."
4132,Garancia Abracadabaume Perfect Illusion 12g,3401344531064,Garancia,35.40,0.0,0,Cream,12g,In stock,"Inspired from observing nature, and more particularly the fireflies which are able to absorb the light and then send it again, Abracadabaume Perfect Illusion is the first beauty care which creates light, unbelievably magic which instantly transforms your skin texture.It combines the NaturalextraLight X3 with a micro-encapsulated active which optically reduces the appearance of your wrinkles and dilated pores, with Santal Wood Powder and Silvered Willow Bark powder with astringent and regenerative powers.Abracadabra, wrinkles and pores disappear!"
4133,Eye Care Gentle Cleansing Lotion 200ml,3532664005208,Eye,9.10,5.0, 1 ,Capsule,200ml,In stock,"Eye Care Gentle Cleansing Lotion 200ml is a care that gently removes make-up and cleanses the skin of its impurities without drying it out. Its rich and creamy texture offers all skin types, even the most sensitive, comfort and softness. After application, the skin is clear, soft, fresh and velvety: benefit provided by the extract of peach leaves with softening properties.Dermatologically tested.Made in France. "
4134,Akileïne Intense Freshness Spray 150ml,3323037344983,Akileïne,7.20,0.0,0,Solution,150ml,In stock,"Instantaneous action of Akileïne Intense Freshness Spray 150ml : from the first application, the feet are pleasantly refreshed.The Melilot activates the microcirculation. The extract of liquorice alleviates the plantar feeling of heating.The freshness effect is felt even through stockings.Does not stain, does not stick."
4135,Natorigin Hand and Nail Cream 60ml,3532668005518,Natorigin,8.40,0.0,0,Cream,60ml,In stock,"Natorigin Hand and Nail Cream 60ml is a hand and nail cream specifically for sensitive skin.It relieves, protects, nourishes, moisturizes hands and nails, even the most weakened by weather conditions or repeated washing.Its formula rich in Jojoba oil, Macadamia and organic shea butter, is quickly absorbed by the skin. It brings all the comfort sought with a soft and silky finish, not greasy.98% of ingredients of natural origin. 21.5% of ingredients from Organic Farming.Made in France. "
4136,Bausch + Lomb Lipiderm 500ml,3401374984113,Bausch,10.99,4.0, 1 ,Cream,500ml,In stock,Bausch + Lomb Lipiderm 500ml contributes to the suppleness of the damaged skin and takes part in the comfort and the protection of the skin.
4137,Akileïne Powder Spray 150ml,3323034408701,Akileïne,6.30,0.0,0,Powder,150ml,In stock,"Akileïne Powder Spray 150ml creates an insulating protective film which avoids heating, irritations and frictions.Absorbs the excess of moistness and moisture. Deodorises and refreshes."
4139,Akileïne Spray Feet & Shoes 150ml,3323036400079,Akileïne,7.20,0.0,0,Solution,150ml,In stock,Akileïne Spray Feet & Shoes 150ml is a spray that calms the plantar heating. It refreshes agreeably and makes it possible to prevent moulds and bacteria.
4141,Elastoplast Helose Sticking Plasters,4005800007378,Elastoplast,3.60,5.0, 1 ,Sticking plasters,8 sticking plasters,In stock,Elastoplast Helose Sticking Plasters immediately relieve pain by reducing pressure and supressing friction. It also contains salicylic acid which helps eliminate the helose by softening the callus. A skicking plaster contains: 0.04 g of salicylic acid.
4142,Foucaud Podologist Cream 50ml,3534190002195,Foucaud,8.10,0.0,0,Cream,50ml,In stock,"Your feet are the head of important reflex points. A fast massage of several minutes can procure an immediate invigorating effect. Upon the morning, use Foucaud Podologist Cream 50ml to get a real feeling of well-being. In the evening, its action associated with massage offers to your feet a feeling of wellbeing, it relaxes and releases you from the daily tension and stress.Its complete formula, plant extracts-based, is enriched with flax and lemon oil which guarantee daily comfort and hygiene.Contains: Flax oil, Menthol, Camphor, Lemon, Witch-Hazel and Horse Chestnut.Parabens-free, phenoxyethanol-free. "
